country,holiday_date,day_of_week,holiday,not_national_holiday,notes
��land,2014-05-01T00:00:00,Thu,Vappu (May Day),false,
��land,2014-05-29T00:00:00,Thu,Ascension Day,false,
��land,2014-06-08T00:00:00,Sun,Whit Sunday (Pentecost),false,
��land,2014-06-09T00:00:00,Mon,Sj��lvstyrelsedagen (��land Self-Governing Day),false,
��land,2014-06-20T00:00:00,Fri,Midsummer's Eve,true,Bnk+Othr
��land,2014-06-21T00:00:00,Sat,Midsummer's Day,false,
��land,2014-11-01T00:00:00,Sat,All Saints' Day,false,
��land,2014-12-06T00:00:00,Sat,Independence Day,false,
��land,2014-12-24T00:00:00,Wed,Christmas Eve,true,Bnk+Othr
��land,2014-12-25T00:00:00,Thu,Christmas Day,false,
��land,2014-12-26T00:00:00,Fri,Second Day of Christmas,false,
��land,2015-01-01T00:00:00,Thu,New Year's  Day,false,
��land,2015-01-06T00:00:00,Tue,Epiphany,false,
��land,2015-04-03T00:00:00,Fri,Good Friday,false,
��land,2015-04-05T00:00:00,Sun,Easter,false,
��land,2015-04-06T00:00:00,Mon,Easter Monday,false,
Abkhazia,2014-05-09T00:00:00,Fri,Victory Day,false,
Abkhazia,2014-07-23T00:00:00,Wed,Flag Day,false,
Abkhazia,2014-09-30T00:00:00,Tue,Day of Liberation of the Republic of Abkhazia,false,
Abkhazia,2014-10-04T00:00:00,Sat,Kurbannyhua / Eil al-Adha (Feast of Sacrifice),false,
Abkhazia,2014-10-11T00:00:00,Sat,Armed Forces Day,false,
Abkhazia,2014-11-26T00:00:00,Wed,Constitution Day of the Republic of Abkhazia,false,
Abkhazia,2015-01-01T00:00:00,Thu,New Year,false,
Abkhazia,2015-01-02T00:00:00,Fri,New Year Holiday,false,
Abkhazia,2015-01-07T00:00:00,Wed,Orthodox Christmas,false,
Abkhazia,2015-01-14T00:00:00,Wed,Azhirnikhua (Day of world creation),false,
Abkhazia,2015-03-08T00:00:00,Sun,International Women's Day,false,
Afghanistan,2014-05-01T00:00:00,Thu,International Workers' Day,false,
Afghanistan,2014-06-28T00:00:00,Sat,Start of Ramadan (Awal Ramadan),false,
Afghanistan,2014-07-28T00:00:00,Mon,Eid al Fitr (End of Ramadan),false,
Afghanistan,2014-07-29T00:00:00,Tue,Eid al Fitr Holiday,false,
Afghanistan,2014-07-30T00:00:00,Wed,Eid al Fitr Holiday,false,
Afghanistan,2014-08-19T00:00:00,Tue,Independence Day (Jeshen),false,
Afghanistan,2014-10-03T00:00:00,Fri,Arafat Day,false,
Afghanistan,2014-10-04T00:00:00,Sat,Eid al Adha (Feast of Sacrifice),false,
Afghanistan,2014-10-05T00:00:00,Sun,Eid al Adha Holiday,false,
Afghanistan,2014-10-06T00:00:00,Mon,Eid al Adha Holiday,false,
Afghanistan,2014-11-03T00:00:00,Mon,Ashura,false,
Afghanistan,2015-01-03T00:00:00,Sat,The Prophet's Birthday (Mawleed al-Nabi),false,
Afghanistan,2015-02-15T00:00:00,Sun,Liberation Day,false,
Afghanistan,2015-03-21T00:00:00,Sat,Nauruz (Afghan New Year),false,
Afghanistan,2015-04-28T00:00:00,Tue,Victory Day,false,
Albania,2014-05-01T00:00:00,Thu,International Labor Day (Dita Nd��rkomb��tare e Pun��s),false,
Albania,2014-07-28T00:00:00,Mon,Lesser Bajram / End of Ramadan (Bajramit t�� Madh),false,
Albania,2014-10-04T00:00:00,Sat,Greater Bajram / Feast of Sacrifice (Kurban Bajramit),false,
Albania,2014-10-19T00:00:00,Sun,Mother Theresa Day (Dita e Lumturimit t�� N��n�� Terez��s),false,
Albania,2014-11-28T00:00:00,Fri,Independence Day (Dita e Pavar��sis��),false,
Albania,2014-11-29T00:00:00,Sat,Liberation Day (Dita e ��lirimit),false,
Albania,2014-12-08T00:00:00,Mon,National Youth Day (Dita Komb��tare e Rinis��),false,
Albania,2014-12-25T00:00:00,Thu,Christmas Day (Krishtlindja),false,
Albania,2015-01-01T00:00:00,Thu,New Year's Day (Dita e Vitit t�� Ri),false,
Albania,2015-01-02T00:00:00,Fri,New Year Holiday,false,
Albania,2015-03-14T00:00:00,Sat,Summer Day (Dita e Ver��s),false,
Albania,2015-03-22T00:00:00,Sun,Nevruz (Dita e Nevruzit),false,
Albania,2015-04-05T00:00:00,Sun,Catholic Easter (Pashk��s Katolike),false,
Albania,2015-04-12T00:00:00,Sun,Orthodox Easter (Pashk��s Ortodokse),false,
Algeria,2014-05-01T00:00:00,Thu,Labour Day,false,
Algeria,2014-07-05T00:00:00,Sat,Independence Day,false,
Algeria,2014-07-28T00:00:00,Mon,Eid al Fitr (End of Ramadan),false,
Algeria,2014-07-29T00:00:00,Tue,Eid al Fitr Holiday,false,
Algeria,2014-10-04T00:00:00,Sat,Eid al Adha (Feast of Sacrifice),false,
Algeria,2014-10-05T00:00:00,Sun,Eid al Adha Holiday,false,
Algeria,2014-10-25T00:00:00,Sat,Awal Mouharem (Islamic New Year),false,
Algeria,2014-11-01T00:00:00,Sat,Revolution Day,false,
Algeria,2014-11-03T00:00:00,Mon,Achoura (Ashura),false,
Algeria,2015-01-01T00:00:00,Thu,New Year's Day,false,
Algeria,2015-01-03T00:00:00,Sat,Mawlid En Nabaoui Echarif (The Prophet's Birthday),false,
American Samoa,2014-05-26T00:00:00,Mon,Memorial Day,false,
American Samoa,2014-07-04T00:00:00,Fri,Independence Day,false,
American Samoa,2014-07-16T00:00:00,Wed,Manu'a Cession Day,true,Government
American Samoa,2014-09-01T00:00:00,Mon,Labor Day,false,
American Samoa,2014-10-12T00:00:00,Sun,White Sunday,true,Christian
American Samoa,2014-10-13T00:00:00,Mon,Columbus Day,false,
American Samoa,2014-11-11T00:00:00,Tue,Veterans' Day,false,
American Samoa,2014-11-27T00:00:00,Thu,Thanksgiving Day,false,
American Samoa,2014-12-25T00:00:00,Thu,Christmas Day,false,
American Samoa,2015-01-01T00:00:00,Thu,New Year's Day,false,
American Samoa,2015-01-19T00:00:00,Mon,Martin Luther King Jr Day,false,
American Samoa,2015-02-16T00:00:00,Mon,Presidents' Day,false,
American Samoa,2015-04-03T00:00:00,Fri,Good Friday,false,
American Samoa,2015-04-17T00:00:00,Fri,American Samoa Flag Day,false,
Andorra,2014-05-01T00:00:00,Thu,Labour Day,false,
Andorra,2014-05-29T00:00:00,Thu,Ascension,true,Banks
Andorra,2014-06-09T00:00:00,Mon,Whit Monday,false,
Andorra,2014-06-24T00:00:00,Tue,Saint John The Baptist Day,true,Banks
Andorra,2014-08-02T00:00:00,Sat,Andorra La Vella Festival,true,Regional
Andorra,2014-08-03T00:00:00,Sun,Andorra La Vella Festival,true,Regional
Andorra,2014-08-04T00:00:00,Mon,Andorra La Vella Festival,true,Regional
Andorra,2014-08-15T00:00:00,Fri,Assumption,false,
Andorra,2014-09-08T00:00:00,Mon,Meritxell Day (National Day),false,
Andorra,2014-11-01T00:00:00,Sat,All Saints' Day,false,
Andorra,2014-11-04T00:00:00,Tue,Saint Charles' Day,true,Banks
Andorra,2014-12-08T00:00:00,Mon,Immaculate Conception Day,false,
Andorra,2014-12-24T00:00:00,Wed,Christmas Eve,true,Banks
Andorra,2014-12-25T00:00:00,Thu,Christmas Day,false,
Andorra,2014-12-26T00:00:00,Fri,Saint Stephen's Day,false,
Andorra,2014-12-31T00:00:00,Wed,New Year's Eve,true,Banks
Andorra,2015-01-01T00:00:00,Thu,New Year's Day,false,
Andorra,2015-01-06T00:00:00,Tue,Epiphany,false,
Andorra,2015-02-16T00:00:00,Mon,Carnival,false,
Andorra,2015-04-02T00:00:00,Thu,Maundy Thursday,true,Bnk+Aft
Andorra,2015-04-03T00:00:00,Fri,Good Friday,false,
Andorra,2015-04-06T00:00:00,Mon,Easter Monday,false,
Angola,2014-05-01T00:00:00,Thu,Labour Day,false,
Angola,2014-09-17T00:00:00,Wed,National Heroes' Day,false,
Angola,2014-11-02T00:00:00,Sun,All Souls' Day,false,
Angola,2014-11-03T00:00:00,Mon,All Souls' Day Holiday,false,
Angola,2014-11-11T00:00:00,Tue,Independence Day,false,
Angola,2014-12-25T00:00:00,Thu,Christmas and Family Day,false,
Angola,2015-01-01T00:00:00,Thu,New Year's Day,false,
Angola,2015-01-25T00:00:00,Sun,Luanda City Day,true,Regional
Angola,2015-01-26T00:00:00,Mon,Luanda City Day Holiday,true,Regional
Angola,2015-02-04T00:00:00,Wed,Liberation Day,false,
Angola,2015-02-17T00:00:00,Tue,Carnival,false,
Angola,2015-03-08T00:00:00,Sun,International Women's Day,false,
Angola,2015-03-09T00:00:00,Mon,International Women's Day Holiday,false,
Angola,2015-04-03T00:00:00,Fri,Good Friday,false,
Angola,2015-04-04T00:00:00,Sat,Angolan Peace Day,false,
Anguilla,2014-05-01T00:00:00,Thu,Labour Day,false,
Anguilla,2014-05-30T00:00:00,Fri,Anguilla Day,false,
Anguilla,2014-06-09T00:00:00,Mon,Whit Monday,false,
Anguilla,2014-06-16T00:00:00,Mon,Celebration of the Birthday of Her Majesty the Queen,false,
Anguilla,2014-08-04T00:00:00,Mon,August Monday (Start of Carnival),false,
Anguilla,2014-08-07T00:00:00,Thu,August Thursday,false,
Anguilla,2014-08-08T00:00:00,Fri,Constitution Day,false,
Anguilla,2014-12-19T00:00:00,Fri,National Heroes and Heroines Day,false,
Anguilla,2014-12-25T00:00:00,Thu,Christmas Day,false,
Anguilla,2014-12-26T00:00:00,Fri,Boxing Day,false,
Anguilla,2015-01-01T00:00:00,Thu,New Year's Day,false,
Anguilla,2015-03-02T00:00:00,Mon,James Ronald Webster's Birthday,false,
Anguilla,2015-04-03T00:00:00,Fri,Good Friday,false,
Anguilla,2015-04-06T00:00:00,Mon,Easter Monday,false,
Antigua and Barbuda,2014-05-05T00:00:00,Mon,Labour Day Holiday,false,
Antigua and Barbuda,2014-06-09T00:00:00,Mon,Whit Monday,false,
Antigua and Barbuda,2014-08-04T00:00:00,Mon,Carnival Monday (J'ouvert),false,
Antigua and Barbuda,2014-08-05T00:00:00,Tue,Carnival Tuesday (Last Lap Jump up),false,
Antigua and Barbuda,2014-11-01T00:00:00,Sat,Independence Day,false,
Antigua and Barbuda,2014-11-03T00:00:00,Mon,Independence Day (day in lieu),false,
Antigua and Barbuda,2014-12-09T00:00:00,Tue,National Heroes Day,false,
Antigua and Barbuda,2014-12-25T00:00:00,Thu,Christmas Day,false,
Antigua and Barbuda,2014-12-26T00:00:00,Fri,Boxing Day,false,
Antigua and Barbuda,2015-01-01T00:00:00,Thu,New Year's Day,false,
Antigua and Barbuda,2015-04-03T00:00:00,Fri,Good Friday,false,
Antigua and Barbuda,2015-04-06T00:00:00,Mon,Easter Monday,false,
Argentina,2014-05-01T00:00:00,Thu,Labor Day,false,
Argentina,2014-05-02T00:00:00,Fri,Public Holiday (d��a feriado con fines tur��sticos),false,
Argentina,2014-05-25T00:00:00,Sun,First Government Day (D��a de la Revoluci��n de Mayo),false,
Argentina,2014-06-20T00:00:00,Fri,Anniversary of General D. Manuel Belgrano's Death,false,
Argentina,2014-07-09T00:00:00,Wed,Independence Day,false,
Argentina,2014-08-18T00:00:00,Mon,General Jos�� de San Mart��n Holiday,false,
Argentina,2014-10-13T00:00:00,Mon,D��a del Respeto a la Diversidad Cultural,false,
Argentina,2014-11-06T00:00:00,Thu,D��a del Trabajador Bancario (Buenos Aires),true,Mun+Bnk
