,aid,sign_in_count,activity,hr_diff,hr_list,etaOrient,blank,variety,igs,public,ighMean,ighOrient,membership
0,2297292,15,0.6,377,1.8410&&49.9839&&0.0023&&20.2431&&15.0657&&3.7625&&16.2474&&18.7686&&,0.375,100.0,0,9,0,1530.55555556,0.0,0
1,2412229,25,0.52,117,0.7824&&0.9111&&2.3914&&0.8705&&4.8225&&4.2433&&0.9617&&0.0405&&2.8353&&16.1051&&12.9461&&11.9194&&,0.583333333333,38.4615384615,5,13,0,1059.15384615,0.538461538462,0
2,2417311,14,0.357142857143,721,11.0714&&0.0463&&0.0350&&109.0366&&,0.5,0.0,5,5,0,2498.4,0.0,2
3,2274161,4,1.75,411,40.0197&&0.0225&&0.0381&&0.0032&&0.7672&&62.0398&&,0.666666666667,42.8571428571,3,7,0,1088.14285714,0.428571428571,0
4,2263776,8,0.75,756,0.8977&&4.0535&&50.1091&&0.0024&&102.5432&&,0.4,66.6666666667,2,6,1,1662.5,0.166666666667,0
5,2278240,33,0.151515151515,510,2.9502&&52.0795&&3.0941&&26.9446&&,0.5,40.0,1,5,0,2935.0,0.2,0
6,2231521,10,1.0,85,0.4595&&5.5393&&0.1209&&24.8367&&0.0022&&0.0015&&0.0061&&0.4532&&0.5062&&,0.777777777778,0.0,4,10,0,1267.4,0.6,0
7,2376398,6,2.66666666667,143,0.0472&&3.5264&&0.0055&&0.0281&&0.0019&&0.1619&&0.0145&&4.9156&&0.0005&&0.0009&&0.0013&&0.0241&&8.3062&&0.0029&&72.7145&&,0.8,100.0,0,16,0,899.8125,0.5,0
8,2236796,29,0.172413793103,899,39.1611&&25.0308&&0.1438&&85.6107&&,0.25,100.0,0,5,0,879.2,0.8,0
9,2224867,49,0.326530612245,258,7.2416&&1.0138&&0.0169&&4.9770&&0.0024&&8.7354&&26.2190&&12.8042&&6.0155&&2.1956&&4.9916&&1.9987&&0.9315&&84.1874&&0.0039&&,0.466666666667,6.25,13,16,0,1653.625,0.1875,2
10,2317184,62,1.87096774194,33,0.3235&&0.0889&&0.0058&&0.4598&&3.0313&&0.0379&&0.0759&&0.0361&&0.0021&&0.2464&&0.0030&&0.0193&&0.7085&&0.0436&&0.0002&&8.5882&&5.1845&&0.0314&&1.0957&&4.1085&&0.0018&&0.0013&&0.0020&&0.0581&&0.0005&&0.0006&&0.0006&&0.0010&&0.0008&&0.0010&&0.0030&&0.0013&&0.0010&&0.0018&&0.0006&&0.0008&&0.0006&&0.0025&&0.0010&&0.2453&&0.0152&&0.0011&&0.0004&&0.0011&&0.0015&&0.0023&&0.0040&&0.0017&&0.0012&&0.0071&&0.0016&&0.0044&&0.0017&&0.0005&&0.0010&&0.0011&&0.9495&&0.0030&&0.6537&&0.0345&&0.0064&&0.0207&&9.8479&&11.1075&&0.7919&&0.0011&&0.4910&&0.0045&&5.6248&&5.3985&&0.0118&&1.5460&&0.0009&&0.0436&&0.0129&&0.9670&&0.0125&&1.0398&&3.2533&&0.6347&&2.9014&&0.0197&&5.0211&&0.2413&&0.7570&&0.8748&&0.1906&&4.0554&&0.7084&&0.0539&&7.2523&&1.4121&&1.3177&&6.7047&&0.6324&&1.2719&&0.0179&&15.5519&&0.0925&&0.0015&&0.0073&&0.0001&&0.1763&&9.8840&&4.7393&&0.9524&&0.0183&&0.0002&&0.0015&&0.4730&&6.4492&&0.0048&&8.2515&&5.3962&&5.9678&&,0.84347826087,10.3448275862,57,116,3,2525.85344828,0.155172413793,0
11,2305965,9,0.888888888889,394,0.0054&&0.0599&&114.4041&&0.0062&&0.0009&&0.0005&&0.5022&&,0.857142857143,50.0,2,8,0,1604.125,0.125,0
12,2389722,5,1.2,287,2.9820&&0.1855&&56.6957&&0.0038&&0.0328&&,0.8,50.0,2,6,0,2171.83333333,0.166666666667,0
13,2231436,57,0.473684210526,165,19.9943&&0.0021&&0.0017&&12.9178&&0.0008&&50.9880&&38.0084&&0.0532&&2.8633&&0.0078&&6.0442&&0.0031&&10.0341&&15.8478&&4.2255&&5.0021&&0.8599&&0.9081&&0.2321&&3.7867&&0.0073&&0.0783&&1.0983&&1.8538&&1.1638&&2.7959&&,0.653846153846,62.962962963,5,27,4,2279.59259259,0.0,0
14,2332363,5,1.8,212,1.6885&&14.2697&&0.7354&&13.0295&&14.2138&&20.8267&&5.9782&&0.2134&&,0.375,55.5555555556,3,9,0,1497.55555556,0.222222222222,0
15,2238266,14,0.642857142857,389,0.2080&&20.9491&&2.7006&&5.2829&&1.9909&&98.6888&&0.0012&&0.0141&&,0.625,100.0,0,9,0,1122.22222222,0.222222222222,0
16,2387399,7,0.714285714286,224,24.2196&&12.9424&&0.1821&&0.0061&&,0.5,20.0,3,5,0,1441.6,0.0,0
17,2218223,27,0.222222222222,628,17.7561&&2.0950&&19.1227&&1.1850&&90.8338&&,0.4,100.0,0,6,0,1974.33333333,0.166666666667,0
18,2407439,26,0.461538461538,319,0.0299&&115.1335&&3.3368&&10.6858&&9.8617&&0.1564&&0.0195&&0.1722&&0.0472&&6.9080&&0.0129&&,0.636363636364,16.6666666667,8,12,0,1373.33333333,0.0833333333333,0
19,2366220,48,0.75,107,2.1442&&0.9575&&4.9348&&0.1067&&0.0099&&0.0030&&0.9858&&0.0566&&117.9010&&0.9170&&0.0515&&8.8360&&0.0683&&4.0435&&1.1492&&1.7707&&4.2056&&2.0533&&0.0106&&0.7870&&0.0008&&0.0007&&0.0008&&0.0008&&0.0006&&0.0010&&0.0001&&0.0008&&0.0009&&0.0008&&0.0003&&0.0008&&0.0005&&0.0009&&5.1316&&,0.828571428571,61.1111111111,11,36,1,1288.88888889,0.472222222222,2
