,aid,sign_in_count,activity,hr_diff,hr_list,etaOrient,blank,variety,igs,public,ighMean,ighOrient,membership
0,2634307,14,0.5,368,15.9425&&43.1729&&0.5802&&0.0807&&0.0448&&32.2911&&,0.5,85.7142857143,1,7,0,1500.71428571,0.0,0
1,2764215,13,1.38461538462,131,0.0051&&0.0086&&0.0957&&0.2767&&0.0169&&0.0247&&0.0343&&2.3924&&0.0241&&0.0275&&0.0153&&0.0131&&0.4593&&3.9756&&8.6577&&56.7877&&20.2602&&,0.823529411765,5.55555555556,4,18,0,1061.55555556,0.444444444444,0
2,2679992,24,0.208333333333,337,15.0668&&0.2748&&12.5924&&28.3576&&,0.25,40.0,3,5,0,1322.6,0.2,0
3,2656352,105,0.190476190476,150,5.0100&&7.0168&&1.9558&&3.9414&&0.1526&&48.9662&&0.1768&&0.9159&&2.9954&&0.0086&&4.0342&&5.7868&&1.9778&&8.0897&&1.0851&&6.9042&&16.9545&&0.2342&&2.7814&&,0.578947368421,55.0,6,20,0,1781.7,0.15,0
4,2671057,10,0.9,274,1.6977&&6.1024&&0.2148&&0.6412&&76.3031&&0.0524&&0.0010&&6.5344&&,0.625,66.6666666667,3,9,0,1301.0,0.111111111111,0
5,2769473,12,0.833333333333,226,40.8454&&0.0945&&8.0003&&0.0034&&7.0263&&19.9177&&8.8725&&0.0000&&0.1761&&,0.444444444444,60.0,4,10,0,1562.4,0.1,0
6,2756400,99,0.505050505051,46,1.4409&&0.6135&&0.0032&&1.9380&&1.2452&&1.9398&&8.8205&&0.2463&&0.7766&&5.0373&&1.8278&&6.0087&&1.0022&&0.5045&&3.7214&&0.9651&&1.1276&&2.1732&&1.9686&&1.7842&&0.0021&&2.2905&&0.9436&&1.7877&&0.0014&&0.6182&&1.1469&&0.0843&&0.3114&&4.9880&&0.8436&&1.6605&&0.9594&&1.0086&&6.5652&&0.5519&&0.5320&&0.3525&&3.0372&&1.5090&&2.0527&&0.6900&&2.9793&&5.9060&&1.5178&&0.3744&&4.5493&&2.9291&&1.0407&&,0.857142857143,98.0,1,50,0,1363.08,0.0,0
7,2747328,12,0.666666666667,260,6.0966&&54.9664&&0.1295&&0.7309&&0.0040&&1.1017&&12.9400&&,0.571428571429,12.5,3,8,0,2201.25,0.125,0
8,2691298,8,0.625,377,4.0698&&0.8426&&28.0208&&30.0594&&,0.25,20.0,4,5,0,1116.8,0.2,0
9,2752223,11,0.454545454545,297,35.2484&&0.0134&&8.0596&&6.2106&&,0.25,100.0,0,5,0,1642.4,0.0,0
10,2717540,5,1.2,499,103.9677&&0.0403&&0.0859&&0.0019&&0.0275&&,0.8,83.3333333333,1,6,0,1178.33333333,0.0,0
11,2739321,21,0.238095238095,219,0.7237&&35.0816&&0.8514&&0.0064&&,0.75,100.0,0,5,0,1414.6,0.2,0
12,2690668,41,0.268292682927,251,7.8762&&6.1062&&25.0381&&7.8993&&0.0019&&23.9435&&0.0028&&21.0048&&0.0082&&13.0984&&,0.3,81.8181818182,2,11,0,1636.72727273,0.0,0
13,2707458,10,0.7,422,0.0001&&0.0015&&18.9556&&21.0303&&2.0653&&63.5927&&,0.5,14.2857142857,3,7,0,1046.0,0.571428571429,0
14,2761966,16,0.375,123,2.7393&&0.0232&&0.0037&&18.9781&&4.0079&&,0.6,16.6666666667,2,6,0,1315.33333333,0.0,0
15,2702103,8,0.625,38,2.9697&&3.5156&&0.0087&&0.0034&&,1.0,0.0,3,5,0,1145.8,0.0,0
16,2725006,11,0.545454545455,436,3.9068&&0.0050&&0.9628&&86.0121&&0.0120&&,0.8,100.0,0,6,0,1841.5,0.0,0
17,2757042,22,0.409090909091,240,4.1914&&0.0143&&50.1595&&0.0109&&1.6781&&11.2065&&0.0006&&12.9604&&,0.5,11.1111111111,5,9,0,3237.44444444,0.0,0
18,2746401,9,1.22222222222,230,0.1047&&0.0924&&0.0640&&6.8016&&0.0480&&8.0700&&15.0906&&2.9399&&0.0596&&62.9027&&,0.6,100.0,0,11,0,1350.0,0.0,0
19,2708377,29,0.310344827586,233,37.2041&&3.7999&&1.1681&&12.9004&&8.8875&&0.0980&&1.0027&&12.8961&&,0.5,0.0,5,9,0,1609.66666667,0.222222222222,0
20,2771020,11,0.727272727273,198,0.0061&&0.0067&&0.0492&&50.8305&&0.1227&&6.9257&&0.0464&&,0.714285714286,12.5,4,8,0,1151.0,0.125,0
21,2653476,10,1.2,162,0.0041&&17.5818&&8.0953&&17.9080&&0.0120&&0.0091&&6.2055&&1.9232&&9.4039&&8.7337&&4.7749&&,0.363636363636,100.0,0,12,0,1403.16666667,0.333333333333,0
22,2688281,7,0.714285714286,341,0.0240&&12.3229&&6.7775&&37.8060&&,0.25,100.0,0,5,0,1008.8,0.6,0
23,2769211,21,0.285714285714,317,42.2483&&2.7130&&3.1721&&10.0182&&8.0154&&,0.4,0.0,5,6,4,3620.83333333,0.0,0
24,2671569,12,0.75,341,0.0142&&1.0214&&0.1691&&2.6770&&3.1921&&0.0492&&6.7196&&100.1452&&,0.75,11.1111111111,7,9,0,2523.77777778,0.111111111111,0
25,2716843,12,0.833333333333,215,0.0920&&0.0098&&0.0036&&71.3735&&0.9776&&0.0152&&0.2445&&8.2458&&0.0056&&,0.777777777778,0.0,6,10,0,1853.8,0.0,0
26,2729875,10,0.7,355,0.0209&&0.0051&&2.8630&&85.9439&&0.0083&&0.0202&&,0.833333333333,42.8571428571,3,7,0,1705.14285714,0.142857142857,0
27,2654132,6,1.33333333333,255,0.8633&&0.0876&&31.8914&&20.6059&&0.0670&&15.2438&&5.7068&&,0.428571428571,87.5,1,8,0,728.875,0.75,0
28,2661674,9,0.555555555556,362,23.9598&&0.2952&&1.7387&&34.4070&&,0.5,80.0,1,5,0,1186.6,0.0,0
29,2735474,6,0.833333333333,359,51.9841&&0.0050&&7.9868&&0.0178&&,0.5,100.0,0,5,0,990.0,0.8,0
30,2709040,31,0.161290322581,383,43.9069&&11.0786&&1.0453&&7.9394&&,0.25,0.0,4,5,0,1447.2,0.2,0
31,2771066,5,1.0,455,0.0138&&0.0709&&0.0014&&75.8122&&,0.75,20.0,3,5,0,1589.2,0.2,0
32,2707418,21,0.428571428571,284,0.0038&&1.1671&&0.2960&&1.7220&&89.7884&&0.0089&&0.1247&&1.8737&&,0.875,0.0,6,9,3,1637.66666667,0.111111111111,0
33,2712351,39,0.564102564103,48,0.8473&&0.0036&&34.0059&&0.0090&&0.0034&&0.0002&&0.0003&&0.0007&&0.0000&&0.0000&&0.0003&&0.0010&&0.0000&&0.0003&&0.0002&&0.0001&&0.0099&&0.0099&&0.0999&&0.8515&&6.9266&&,0.904761904762,77.2727272727,4,22,0,1732.68181818,0.0,0
34,2692871,38,1.52631578947,43,0.0909&&0.0284&&0.0060&&0.0096&&0.0316&&0.0162&&0.0025&&0.0184&&0.0138&&0.7351&&26.0476&&0.0920&&0.0056&&0.0075&&0.0076&&0.0125&&0.0094&&20.8570&&0.0089&&0.1057&&0.0016&&0.0089&&0.0064&&34.8784&&0.0094&&0.0912&&0.0144&&0.0345&&0.0458&&0.8358&&0.0605&&0.0003&&0.0121&&0.0028&&0.0669&&0.7614&&0.0002&&0.0109&&0.0328&&0.0125&&0.0003&&0.0235&&0.0216&&0.0003&&0.0582&&0.0238&&0.8784&&0.0401&&0.1489&&3.9169&&0.0030&&0.0034&&0.0035&&0.0303&&9.9537&&0.1057&&3.7634&&,0.929824561404,0.0,2,58,1,1275.62068966,0.0,2
35,2633778,25,0.6,159,0.0354&&29.8258&&12.5112&&0.0032&&0.5448&&0.9739&&0.2408&&1.1089&&10.8671&&25.0094&&0.1152&&2.1045&&7.5198&&2.2736&&,0.642857142857,20.0,6,15,0,1248.46666667,0.733333333333,0
36,2724947,26,0.538461538462,162,0.0122&&0.0210&&6.9757&&0.0196&&27.0016&&0.0410&&6.0131&&0.1340&&7.1088&&34.8719&&2.2834&&0.6512&&2.8594&&,0.615384615385,7.14285714286,4,14,0,1161.78571429,0.357142857143,0
37,2760851,68,0.323529411765,80,2.0783&&0.0193&&0.0022&&10.7233&&2.1080&&12.9238&&0.0124&&3.2669&&14.1207&&13.0000&&0.7228&&3.2400&&0.9185&&5.8698&&0.2222&&0.0473&&0.0821&&0.7128&&0.0350&&0.0183&&0.0053&&,0.761904761905,22.7272727273,9,22,0,1071.90909091,0.363636363636,1
38,2702602,5,1.0,580,0.1356&&54.9509&&3.6810&&37.9377&&,0.5,100.0,0,5,0,1478.4,0.0,0
39,2702211,5,1.4,376,0.0470&&6.7728&&0.0342&&6.9633&&35.0453&&45.2790&&,0.333333333333,100.0,0,7,0,2496.14285714,0.142857142857,0
40,2769123,12,0.5,148,26.9937&&1.2156&&1.0582&&0.7239&&0.9904&&,0.8,50.0,3,6,0,3055.33333333,0.0,2
41,2691003,35,0.142857142857,161,16.9457&&0.9797&&6.2084&&2.7481&&,0.5,0.0,4,5,0,2164.6,0.0,0
42,2729655,29,0.758620689655,92,4.2589&&5.1359&&4.7488&&3.1128&&0.9814&&2.9328&&0.0830&&4.8396&&0.9513&&12.2215&&0.0140&&12.7949&&3.0130&&0.0031&&0.0653&&0.0122&&0.0199&&0.0091&&13.0439&&4.9816&&7.7413&&,0.571428571429,36.3636363636,6,22,1,984.863636364,0.409090909091,0
43,2754670,4,1.25,234,0.2346&&2.7889&&35.0435&&0.9883&&,0.75,100.0,0,5,0,1957.4,0.0,0
44,2763741,16,0.375,245,10.9967&&0.0920&&4.9870&&32.8988&&2.1036&&,0.4,100.0,0,6,0,2312.83333333,0.166666666667,0
45,2767457,8,0.875,234,0.4407&&23.9428&&0.0001&&0.0088&&0.0487&&34.2470&&,0.666666666667,14.2857142857,2,7,0,1152.57142857,0.0,0
46,2763514,66,0.560606060606,55,0.0295&&0.0957&&0.6990&&10.9792&&0.0394&&14.2469&&0.8337&&14.0342&&1.9873&&0.0543&&0.0215&&6.9125&&2.2441&&0.0242&&4.7436&&3.1250&&2.1987&&0.8748&&3.6794&&3.0089&&1.0617&&6.3889&&0.0105&&0.0304&&0.0105&&5.6637&&0.0282&&0.0188&&0.0087&&0.0172&&0.0014&&0.0175&&0.0098&&0.0020&&0.0202&&0.8258&&,0.805555555556,13.5135135135,20,37,1,1592.54054054,0.0810810810811,2
47,2702909,16,0.5625,41,0.0011&&0.0019&&2.9894&&0.0090&&0.0129&&6.4340&&0.4776&&3.8119&&,0.875,11.1111111111,4,9,0,1165.22222222,0.0,0
48,2678771,20,0.3,201,0.1796&&19.9268&&0.1110&&2.8066&&18.9708&&,0.6,100.0,0,6,0,1310.5,0.333333333333,0
49,2654705,19,0.421052631579,202,6.0143&&13.9213&&6.4145&&3.8740&&0.1422&&28.5681&&0.0509&&,0.428571428571,25.0,2,8,1,2861.375,0.125,0
50,2765822,5,1.2,162,0.8263&&1.2067&&0.1425&&0.0003&&31.6761&&,0.8,16.6666666667,2,6,1,1177.0,0.0,0
51,2665006,12,0.75,168,35.2009&&0.3057&&6.4194&&0.0058&&12.0402&&1.6118&&0.0585&&0.5784&&,0.625,0.0,6,9,0,1208.77777778,0.333333333333,0
52,2669841,12,0.5,280,15.4210&&7.7846&&0.0312&&0.0203&&35.1253&&,0.4,16.6666666667,3,6,0,1167.0,0.0,0
53,2751256,75,0.0933333333333,253,5.9225&&8.1074&&12.1426&&21.0877&&6.0428&&9.9587&&,0.0,100.0,0,7,0,10856.5714286,0.0,0
54,2681852,30,0.666666666667,143,0.9604&&5.0216&&1.0035&&0.2040&&5.8186&&7.9938&&6.1009&&6.9142&&8.9210&&6.0632&&6.9393&&6.9763&&7.0551&&6.9398&&7.0323&&0.9888&&1.1002&&10.9090&&16.2937&&,0.263157894737,95.0,1,20,0,915.25,0.7,0
55,2741813,25,0.28,339,35.6463&&0.0073&&2.0295&&4.9930&&40.2167&&1.9498&&,0.5,71.4285714286,1,7,0,2543.28571429,0.0,0
56,2643873,22,0.545454545455,187,0.0023&&0.0507&&1.1188&&0.0534&&13.0251&&8.0072&&33.9901&&7.8088&&0.9845&&20.9282&&0.0017&&,0.545454545455,41.6666666667,6,12,0,1185.83333333,0.583333333333,0
57,2725086,20,1.5,60,0.4700&&0.0269&&0.0537&&0.4309&&0.1106&&0.0005&&0.9784&&2.1080&&3.2369&&8.2055&&0.4211&&0.0202&&1.5507&&3.6275&&0.3477&&0.0087&&0.0115&&0.0101&&0.0129&&0.0094&&21.8678&&0.0416&&0.0159&&0.0228&&0.0094&&8.8483&&6.6545&&14.2105&&0.0843&&,0.827586206897,100.0,0,30,0,669.366666667,0.7,0
58,2769067,13,0.461538461538,229,0.0035&&47.7878&&0.0451&&0.0015&&0.0143&&,0.8,66.6666666667,2,6,0,1705.16666667,0.0,0
59,2638796,26,0.538461538462,184,44.8922&&1.2026&&0.0273&&0.1217&&0.1024&&0.8028&&18.5579&&0.0020&&23.4970&&0.5044&&0.0960&&4.9225&&5.1971&&,0.615384615385,64.2857142857,5,14,0,1571.07142857,0.428571428571,0
60,2763657,17,0.352941176471,16,1.5169&&0.0576&&0.0873&&1.8203&&0.0287&&,1.0,0.0,3,6,0,2250.5,0.0,0
61,2708956,13,0.384615384615,442,0.7645&&0.0063&&0.2572&&72.7784&&,0.75,20.0,2,5,0,1566.0,0.0,0
62,2662603,44,0.181818181818,288,0.0163&&0.0977&&3.2227&&37.7582&&4.1499&&14.7263&&24.2171&&,0.428571428571,25.0,3,8,1,1765.625,0.125,0
63,2720720,10,0.5,587,6.9962&&7.0008&&77.0090&&6.9929&&,0.0,100.0,0,5,0,1440.0,0.0,0
64,2720669,7,0.857142857143,470,7.0009&&6.9878&&77.0184&&7.0068&&0.0220&&,0.2,100.0,0,6,0,1350.0,0.0,0
65,2728934,19,0.315789473684,455,4.9251&&0.0038&&0.0735&&89.8553&&0.0230&&,0.6,16.6666666667,1,6,2,2060.5,0.0,0
66,2734399,5,1.8,3,0.1000&&0.1422&&0.0238&&0.0352&&0.1277&&0.0224&&0.0618&&0.5142&&,1.0,33.3333333333,5,9,0,3019.44444444,0.111111111111,0
67,2750983,9,0.666666666667,443,3.6761&&1.7914&&3.0057&&6.9954&&77.0031&&,0.6,50.0,1,6,0,1112.0,0.333333333333,0
68,2756090,5,1.6,130,0.0025&&3.0161&&0.0139&&0.0297&&0.4035&&24.5204&&10.0467&&,0.714285714286,25.0,2,8,0,1254.5,0.5,0
