,aid,sign_in_count,activity,hr_diff,hr_list,etaOrient,blank,variety,igs,public,ighMean,ighOrient,membership
0,2083960,40,0.175,756,1.0851&&3.8873&&168.2048&&0.9801&&6.8977&&8.0518&&,0.5,28.5714285714,4,7,3,1786.14285714,0.0,0
1,2136311,13,0.923076923077,306,13.0171&&0.0082&&63.1373&&13.9856&&0.0155&&6.9681&&0.0159&&1.1217&&5.8757&&0.1709&&35.9613&&,0.454545454545,50.0,3,12,1,1103.33333333,0.166666666667,0
2,2126952,36,0.444444444444,255,7.9773&&5.0304&&8.9782&&0.7595&&17.2700&&21.1696&&0.5350&&0.0106&&0.0360&&1.0444&&0.2035&&42.0296&&37.7286&&2.0351&&14.9491&&,0.466666666667,37.5,7,16,0,1533.5,0.25,0
3,2136356,14,0.5,635,5.0021&&86.1787&&0.0054&&29.0637&&33.6783&&4.9568&&,0.166666666667,14.2857142857,2,7,0,6983.42857143,0.285714285714,2
4,2091981,6,1.0,385,4.9910&&20.9943&&30.9925&&23.3275&&0.0326&&,0.2,0.0,4,6,1,1289.83333333,0.333333333333,0
5,2094742,22,0.272727272727,810,20.9907&&5.1934&&128.6682&&5.0066&&9.0099&&,0.0,0.0,3,6,3,2831.83333333,0.0,0
6,2150406,21,0.285714285714,204,7.0581&&0.7108&&0.1048&&31.7349&&2.9940&&,0.6,16.6666666667,3,6,1,1621.0,0.0,0
7,2013723,31,0.483870967742,326,0.1428&&0.0021&&3.1227&&2.6831&&38.1464&&6.8076&&1.3357&&11.8759&&0.8158&&4.1998&&42.0023&&14.9802&&63.8299&&0.5562&&,0.5,100.0,0,15,0,1099.8,0.0666666666667,0
8,2024808,19,0.368421052632,693,1.5541&&9.4719&&26.9868&&0.0314&&15.1358&&120.1251&&,0.333333333333,0.0,5,7,4,1295.28571429,0.142857142857,0
9,2151437,22,0.227272727273,1062,10.0857&&85.0243&&68.3402&&13.5519&&,0.0,80.0,1,5,0,1594.2,0.0,0
10,2191008,11,0.545454545455,792,0.0255&&0.0215&&0.9023&&82.0651&&82.0148&&,0.6,50.0,2,6,0,1521.83333333,0.0,0
11,2095335,17,0.352941176471,33,0.0020&&3.9875&&0.0136&&0.9942&&2.0696&&,1.0,50.0,1,6,0,2057.66666667,0.0,0
12,2008646,6,1.0,821,0.0302&&13.8754&&0.0246&&0.0254&&157.2509&&,0.6,50.0,1,6,1,1739.5,0.0,0
13,2185989,12,0.416666666667,1071,110.4741&&1.0605&&0.1337&&66.9484&&,0.5,60.0,2,5,0,3325.6,0.0,0
14,2210097,9,0.777777777778,340,1.1699&&6.9816&&0.9984&&1.0932&&2.8641&&72.0834&&,0.666666666667,0.0,5,7,0,1359.0,0.571428571429,0
15,2052291,7,0.714285714286,44,0.1765&&0.0056&&7.1440&&0.0171&&,0.75,60.0,2,5,0,1684.8,0.0,0
16,2101719,2,4.0,389,0.1078&&0.1322&&8.9114&&104.5628&&0.0074&&0.0242&&0.0022&&,0.714285714286,25.0,1,8,0,1333.625,0.0,0
17,2030672,10,0.5,842,0.8196&&13.1813&&20.9107&&105.5378&&,0.25,100.0,0,5,0,1368.2,0.0,0
18,2212326,13,0.538461538462,733,1.1748&&14.8054&&153.0595&&5.1567&&9.0521&&0.1589&&,0.333333333333,0.0,4,7,0,1003.28571429,0.428571428571,0
19,2190866,20,0.55,177,0.0553&&21.8013&&2.0184&&1.9209&&0.0064&&0.0870&&0.0069&&0.0065&&2.8626&&45.0879&&,0.8,18.1818181818,3,11,0,1073.72727273,0.363636363636,0
20,2016483,15,0.533333333333,699,0.6013&&6.8920&&0.0079&&0.0041&&0.0009&&0.9656&&195.5429&&,0.714285714286,100.0,0,8,0,784.75,0.5,0
21,2065252,21,0.52380952381,242,0.0424&&0.0025&&3.1881&&3.6135&&3.0335&&85.9636&&0.0309&&2.8134&&0.5537&&1.7969&&,0.9,100.0,0,11,0,774.727272727,0.909090909091,0
22,2116120,5,1.2,512,1.9919&&0.0080&&98.6960&&1.1905&&4.8473&&,0.6,83.3333333333,1,6,0,1149.83333333,0.166666666667,0
23,2020065,21,0.857142857143,290,8.4241&&0.0050&&0.0006&&0.0020&&0.0153&&6.2271&&14.2652&&69.4667&&5.2938&&30.0050&&57.7702&&0.0098&&0.1489&&0.0593&&0.0411&&13.9859&&0.0074&&,0.529411764706,66.6666666667,4,18,0,1528.33333333,0.0555555555556,0
24,2054318,21,0.428571428571,600,85.8143&&0.0030&&91.2968&&1.7085&&3.2505&&8.9986&&0.9522&&8.0316&&,0.5,88.8888888889,1,9,0,1689.22222222,0.111111111111,0
