,aid,sign_in_count,activity,hr_diff,hr_list,etaOrient,blank,variety,igs,public,ighMean,ighOrient,membership
0,2602432,59,0.423728813559,121,14.6821&&0.2347&&10.1536&&2.9036&&15.8149&&0.1155&&4.1359&&0.1140&&0.9297&&0.0075&&0.7500&&0.9658&&6.2238&&0.0470&&4.0508&&0.8199&&3.8721&&4.8664&&0.1895&&5.1461&&0.2617&&15.5826&&1.2049&&28.7838&&,0.583333333333,12.0,17,25,9,2352.6,0.08,2
1,2580613,20,0.3,570,80.1153&&27.5623&&2.0944&&5.3407&&3.7287&&,0.4,50.0,2,6,0,1805.16666667,0.166666666667,0
2,2596288,10,0.6,481,91.0966&&7.9739&&1.0150&&0.1413&&0.0359&&,0.6,83.3333333333,1,6,0,1146.83333333,0.0,0
3,2452972,11,0.545454545455,503,2.7306&&0.0413&&41.8683&&1.0382&&59.3172&&,0.6,83.3333333333,1,6,0,2235.0,0.0,0
4,2609034,53,0.132075471698,498,0.0283&&5.5700&&106.9403&&7.0055&&0.0137&&4.9663&&,0.333333333333,28.5714285714,5,7,0,2216.14285714,0.0,0
5,2594860,16,0.875,160,1.0824&&35.4160&&0.5934&&0.0711&&2.1616&&3.5430&&8.1428&&1.0459&&2.8289&&9.3007&&7.0781&&11.9333&&3.9083&&,0.615384615385,100.0,0,14,0,782.142857143,0.785714285714,0
6,2561469,32,0.375,176,0.8439&&4.2152&&0.0817&&4.6469&&5.3390&&0.4197&&0.1287&&0.3939&&4.8850&&28.1949&&31.5780&&,0.454545454545,8.33333333333,10,12,0,993.333333333,0.416666666667,0
7,2508780,32,0.1875,486,58.0860&&14.9784&&26.9626&&1.0746&&0.2386&&,0.4,16.6666666667,3,6,0,1090.33333333,0.333333333333,2
8,2591177,13,0.538461538462,223,0.0197&&21.2525&&0.0265&&8.6368&&7.0047&&19.0502&&,0.333333333333,85.7142857143,1,7,0,2421.42857143,0.0,0
9,2486401,7,1.0,347,7.0159&&10.2058&&6.8169&&20.2264&&14.0079&&28.5697&&,0.0,42.8571428571,4,7,1,1800.0,0.0,0
10,2435030,8,0.625,899,32.9799&&0.0152&&114.0218&&2.9603&&,0.5,0.0,4,5,3,1915.6,0.0,0
11,2467340,30,0.733333333333,159,0.0109&&0.0037&&0.4231&&3.9938&&0.9904&&6.0136&&0.0518&&0.0434&&1.9181&&7.0641&&13.0206&&0.0135&&9.9891&&5.8855&&3.6006&&4.3738&&75.0130&&0.0000&&6.0939&&0.1044&&0.7726&&,0.619047619048,100.0,0,22,0,1078.54545455,0.409090909091,0
12,2578783,26,0.769230769231,165,0.1719&&0.3331&&2.6413&&0.2998&&0.5672&&1.1978&&0.7848&&6.0080&&0.0356&&9.1706&&2.2239&&17.7656&&4.9914&&18.9094&&0.0317&&54.0247&&3.8458&&7.1709&&0.9510&&,0.631578947368,70.0,3,20,0,2469.5,0.15,0
13,2458752,25,0.84,177,0.1324&&6.6921&&2.3487&&0.0282&&0.7939&&0.1949&&16.6104&&0.0119&&0.0006&&0.0286&&4.1622&&4.9569&&0.0243&&12.8922&&0.0076&&37.2399&&12.9589&&5.8088&&35.2705&&8.0166&&,0.5,52.380952381,4,21,0,1011.61904762,0.52380952381,0
14,2615597,12,1.5,95,0.0753&&0.7579&&0.0098&&0.0351&&0.0726&&3.1098&&0.0086&&0.0470&&1.7931&&0.0228&&0.0943&&1.0442&&1.6673&&2.3694&&0.9875&&17.0103&&38.8053&&,0.882352941176,38.8888888889,4,18,0,1367.11111111,0.222222222222,0
15,2513321,7,1.28571428571,188,0.0237&&0.7408&&0.0213&&0.0013&&0.0048&&0.1439&&5.9705&&55.9583&&,0.75,77.7777777778,1,9,0,1178.11111111,0.333333333333,0
16,2443429,14,0.857142857143,21,0.0504&&0.6162&&0.1087&&0.1843&&0.8092&&0.2980&&0.0087&&0.0009&&1.6430&&0.1122&&6.1412&&,0.909090909091,25.0,3,12,0,1377.25,0.25,0
17,2541040,9,0.666666666667,457,2.4022&&0.0066&&91.8930&&0.0030&&1.0591&&,0.8,0.0,3,6,0,1259.16666667,0.0,0
18,2519811,7,0.714285714286,744,22.0302&&0.0094&&2.3048&&99.7738&&,0.5,20.0,3,5,0,1090.6,0.2,0
19,2572772,6,1.16666666667,265,1.0965&&0.8952&&14.0995&&1.0912&&0.7545&&48.3311&&,0.666666666667,28.5714285714,5,7,1,2759.28571429,0.142857142857,0
20,2544885,111,0.252252252252,112,7.0639&&7.9459&&5.3160&&0.1665&&5.6703&&1.1301&&0.0796&&0.1357&&0.6969&&0.0270&&0.8039&&0.2139&&0.0022&&3.0050&&2.1096&&0.7234&&14.2155&&0.0033&&4.7017&&1.2480&&61.8884&&0.0007&&0.0167&&8.1258&&0.0145&&0.9681&&0.8144&&,0.703703703704,28.5714285714,18,28,2,2941.21428571,0.0714285714286,2
21,2579670,6,1.16666666667,455,0.8085&&2.2686&&7.0462&&0.0633&&103.5667&&0.0006&&,0.666666666667,0.0,3,7,0,3088.0,0.0,0
22,2498788,26,0.307692307692,261,0.0068&&7.2239&&0.9753&&32.2233&&30.7539&&4.0463&&0.9588&&,0.428571428571,37.5,4,8,2,1488.75,0.0,0
23,2572054,22,0.409090909091,288,0.0402&&19.8861&&0.1488&&28.0380&&0.9617&&0.0153&&0.0013&&47.0526&&,0.625,100.0,0,9,0,1166.77777778,0.444444444444,0
24,2621826,7,1.28571428571,189,0.0637&&0.0073&&0.0029&&19.7933&&0.0015&&0.2014&&42.6400&&0.3749&&,0.75,0.0,4,9,1,2376.66666667,0.0,0
25,2591726,27,0.37037037037,185,0.0048&&0.7196&&0.1296&&19.7215&&0.0048&&0.0117&&0.0126&&48.9319&&0.0150&&,0.777777777778,40.0,1,10,2,1368.2,0.0,0
26,2447133,11,0.818181818182,161,0.0157&&2.0863&&2.7914&&0.1711&&1.0497&&30.0131&&0.6487&&17.0169&&,0.75,77.7777777778,1,9,0,1151.66666667,0.333333333333,0
27,2487312,8,1.75,77,0.2898&&0.0223&&0.0072&&0.0033&&0.0362&&0.0452&&2.7180&&3.8941&&0.0021&&0.0339&&0.1689&&0.0056&&34.6427&&,0.923076923077,0.0,1,14,0,536.642857143,1.0,0
28,2625454,10,0.8,240,4.2253&&0.0541&&26.8041&&0.0030&&18.0570&&5.0708&&16.0245&&,0.285714285714,25.0,5,8,0,3555.25,0.0,0
29,2475428,21,0.285714285714,201,0.1666&&21.8364&&19.0197&&0.9655&&0.0646&&,0.6,0.0,4,6,0,2512.5,0.333333333333,0
30,2514453,17,0.352941176471,350,2.9146&&13.0381&&15.3693&&28.9368&&12.7729&&,0.2,100.0,0,6,0,1183.33333333,0.0,0
31,2504243,51,0.470588235294,141,6.3298&&0.7594&&0.0128&&0.0201&&6.0489&&0.0011&&0.4996&&5.6383&&2.0895&&0.6470&&6.2420&&5.0781&&21.7561&&76.2489&&0.0113&&0.0048&&0.0072&&0.0063&&0.0042&&0.0024&&0.0210&&0.0195&&3.9633&&,0.695652173913,50.0,3,24,0,2394.25,0.0,2
32,2443399,22,1.18181818182,102,0.0547&&0.9257&&0.3118&&0.0235&&0.0028&&0.0024&&14.8928&&0.0056&&0.0017&&23.9746&&11.9398&&26.9345&&21.8682&&4.7857&&0.3631&&0.0080&&0.1434&&0.0116&&0.0031&&0.0021&&0.3951&&0.0041&&0.0538&&0.2319&&0.2805&&,0.76,30.7692307692,5,26,0,1996.0,0.115384615385,0
33,2591188,7,2.71428571429,97,8.9381&&3.1478&&0.0211&&0.0112&&0.0116&&0.0105&&0.0036&&0.0060&&2.0182&&0.0118&&0.0053&&31.7617&&0.0196&&0.0062&&0.0039&&0.0153&&26.9198&&0.0535&&,0.833333333333,94.7368421053,1,19,0,456.578947368,1.0,0
34,2615649,7,1.57142857143,252,0.0029&&0.2163&&0.0031&&0.0418&&0.0056&&0.0442&&0.0350&&79.7775&&4.9295&&20.3150&&,0.7,81.8181818182,2,11,0,1443.63636364,0.636363636364,0
35,2607729,6,1.33333333333,415,0.0065&&0.0306&&0.1933&&0.0076&&120.7807&&0.1473&&0.0326&&,0.857142857143,12.5,6,8,0,2086.25,0.0,0
36,2533142,25,0.32,473,21.2783&&26.6206&&0.0091&&83.3229&&0.0108&&6.9843&&0.0185&&,0.428571428571,37.5,3,8,0,2111.5,0.125,0
37,2458051,9,2.44444444444,121,6.6926&&0.0089&&0.0068&&0.0428&&0.0469&&0.0062&&0.0415&&0.0337&&4.8899&&1.0696&&0.7430&&1.3924&&0.0352&&0.0392&&0.7945&&0.0001&&7.5678&&0.1389&&0.0164&&33.2503&&49.1499&&,0.761904761905,18.1818181818,4,22,0,1113.09090909,0.454545454545,0
38,2582276,39,0.307692307692,231,0.0594&&0.0122&&29.1855&&33.7478&&0.0582&&0.0432&&14.1856&&19.0069&&1.8934&&0.0315&&7.8039&&,0.545454545455,41.6666666667,6,12,0,1238.16666667,0.333333333333,2
39,2537028,13,0.769230769231,95,0.0015&&0.0575&&0.4358&&0.0030&&10.2648&&15.5801&&2.3523&&1.5822&&5.3757&&,0.666666666667,10.0,6,10,0,2200.7,0.0,0
40,2500565,6,1.0,546,0.0077&&0.0347&&20.8867&&0.0261&&92.8537&&,0.6,16.6666666667,2,6,2,963.166666667,0.333333333333,0
41,2577831,10,1.0,341,125.8247&&0.0457&&0.3393&&0.5581&&0.1586&&0.8247&&0.0031&&0.1034&&0.0639&&,0.888888888889,0.0,8,10,0,1728.9,0.0,0
42,2562521,50,0.44,63,8.2802&&5.9350&&14.0170&&0.9215&&1.8336&&0.0053&&5.0749&&0.0155&&5.0897&&0.0046&&0.0088&&0.0152&&0.0246&&3.0683&&0.8952&&9.9777&&0.0029&&0.0711&&0.0124&&0.0818&&0.6086&&,0.714285714286,95.4545454545,1,22,0,730.136363636,0.863636363636,2
43,2520597,12,0.416666666667,636,0.0146&&0.0153&&0.0020&&106.0927&&,0.75,40.0,1,5,0,1210.0,0.4,0
44,2457217,13,0.461538461538,47,0.0185&&9.1309&&0.0003&&0.0048&&0.8359&&,0.8,33.3333333333,1,6,2,1430.5,0.333333333333,0
45,2436458,15,0.333333333333,881,9.5715&&0.2619&&130.0667&&6.9945&&,0.25,80.0,1,5,1,2305.2,0.0,0
46,2480384,15,0.333333333333,532,3.9004&&81.2254&&2.8256&&0.7744&&,0.75,0.0,2,5,2,7135.4,0.0,2
47,2602174,26,0.538461538462,180,0.0050&&1.9772&&0.0173&&4.8942&&0.0075&&0.0706&&36.7541&&6.1853&&0.9889&&7.0070&&0.3236&&0.4942&&39.1902&&,0.615384615385,0.0,12,14,0,1914.5,0.0,2
48,2598912,14,0.571428571429,322,7.5236&&2.0063&&0.0977&&0.4762&&68.8372&&0.0410&&14.9867&&,0.571428571429,75.0,2,8,0,2203.125,0.0,0
49,2521430,15,0.8,268,0.0742&&10.9313&&58.0889&&0.8885&&0.0109&&1.1513&&25.0459&&0.0297&&19.7818&&2.1362&&4.9700&&,0.545454545455,33.3333333333,3,12,0,1358.83333333,0.0833333333333,0
50,2463842,14,1.28571428571,92,20.0695&&0.0046&&0.2025&&1.0652&&12.8802&&1.0917&&0.7176&&5.2555&&0.9582&&0.0389&&1.0356&&0.3565&&6.5815&&0.8097&&1.9898&&12.1366&&0.0068&&,0.705882352941,0.0,3,18,0,622.722222222,0.944444444444,0
51,2590028,6,0.833333333333,604,0.6451&&6.1540&&0.0576&&93.9630&&,0.5,60.0,2,5,0,1680.2,0.0,0
52,2590670,48,0.104166666667,447,1.8636&&0.6905&&62.1395&&9.9591&&,0.5,0.0,5,5,3,4484.6,0.0,0
53,2579822,20,0.25,643,1.8570&&9.0108&&95.1486&&1.2365&&,0.5,80.0,1,5,0,1256.6,0.4,0
54,2551363,12,0.416666666667,251,13.6002&&0.9699&&13.9833&&13.3718&&,0.25,60.0,1,5,0,1690.0,0.0,0
55,2483681,8,1.0,242,0.0141&&0.0211&&0.7697&&0.0447&&2.1127&&3.8892&&63.8992&&,0.857142857143,12.5,4,8,0,1714.875,0.125,0
56,2529685,13,0.538461538462,503,0.0142&&0.0014&&4.9796&&1.3073&&0.0654&&119.5545&&,0.666666666667,85.7142857143,1,7,0,1758.71428571,0.0,0
57,2441687,7,1.42857142857,125,36.8641&&0.0175&&0.0034&&0.0048&&0.1619&&0.0023&&2.8462&&0.1304&&7.0556&&,0.777777777778,100.0,0,10,0,1209.2,0.4,0
58,2438059,11,0.636363636364,72,0.0875&&15.9416&&0.0028&&1.9855&&0.0256&&0.0225&&,0.833333333333,0.0,4,7,1,1580.42857143,0.0,0
59,2439976,41,0.365853658537,137,0.1077&&1.2782&&0.0044&&0.0894&&0.0066&&2.0130&&0.9556&&19.1192&&31.8986&&3.6420&&14.2623&&0.0226&&6.1500&&0.5370&&,0.714285714286,13.3333333333,10,15,1,3156.73333333,0.0,2
60,2591655,16,0.3125,691,1.2644&&8.5483&&0.2860&&105.0913&&,0.5,0.0,1,5,0,1189.0,0.0,2
