,aid,sign_in_count,activity,hr_diff,hr_list,etaOrient,blank,variety,igs,public,ighMean,ighOrient,membership
0,2365613,12,0.583333333333,16,0.0927&&0.0131&&0.6894&&0.1797&&1.0409&&2.1936&&,1.0,85.7142857143,1,7,0,1742.28571429,0.0,0
1,2245310,2,3.5,136,0.1041&&0.0593&&0.0002&&0.0009&&33.9324&&0.0903&&,0.833333333333,14.2857142857,2,7,0,1167.71428571,0.0,0
2,2350429,4,1.25,114,0.0007&&0.1672&&7.7877&&11.0917&&,0.5,20.0,2,5,0,3510.4,0.2,0
3,2364463,14,1.5,24,3.9911&&0.0192&&9.4410&&0.0007&&0.0661&&0.9653&&2.5260&&1.3170&&0.1369&&0.0148&&0.0123&&0.0129&&0.0180&&0.0040&&0.0127&&0.0069&&0.9278&&0.0024&&0.6516&&0.2035&&,0.95,0.0,1,21,3,3590.47619048,0.0,0
4,2296895,11,0.727272727273,222,15.1344&&0.9825&&0.9417&&0.0098&&0.1032&&2.0305&&45.7934&&,0.714285714286,37.5,3,8,0,659.0,1.0,0
5,2336220,5,1.2,1,0.0033&&0.0018&&0.0258&&0.0140&&0.1717&&,1.0,0.0,5,6,0,2123.5,0.0,0
6,2324403,11,0.545454545455,297,29.0723&&0.1664&&5.9884&&3.6141&&23.0954&&,0.4,83.3333333333,1,6,0,1266.16666667,0.166666666667,0
7,2360855,11,0.818181818182,125,0.0033&&0.0042&&19.8660&&0.0270&&13.9964&&0.0037&&7.9315&&0.0336&&,0.625,44.4444444444,2,9,0,1743.44444444,0.0,0
8,2255977,4,1.25,216,0.0038&&35.1486&&0.9257&&0.0030&&,0.75,100.0,0,5,0,2100.0,0.0,0
9,2237181,8,0.625,220,1.7709&&1.2490&&17.9749&&15.7244&&,0.5,0.0,3,5,0,1448.0,0.0,0
10,2260830,3,3.66666666667,43,0.1484&&17.8876&&0.0530&&0.0002&&0.0083&&0.0026&&0.0045&&0.0028&&0.0112&&0.1303&&,0.9,100.0,0,11,0,745.454545455,0.636363636364,0
11,2236958,11,0.545454545455,374,2.7141&&2.2063&&6.7780&&0.0069&&66.2530&&,0.6,33.3333333333,3,6,1,2007.5,0.166666666667,0
12,2342056,5,1.4,0,0.0256&&0.0442&&0.0623&&0.0133&&0.0130&&0.0065&&,1.0,100.0,0,7,0,2768.57142857,0.0,0
13,2243254,13,1.30769230769,85,12.5581&&1.6712&&0.2564&&0.0037&&1.9400&&0.0020&&0.0137&&2.9322&&7.8867&&4.2636&&3.6217&&5.9991&&10.8830&&4.5140&&0.5264&&0.0066&&,0.625,82.3529411765,3,17,0,639.764705882,0.764705882353,0
14,2306899,2,3.0,91,0.0285&&0.0331&&0.7666&&18.1386&&0.0008&&,0.8,33.3333333333,1,6,0,1098.0,0.166666666667,0
15,2284715,5,1.2,14,0.0100&&0.9649&&0.0204&&1.9618&&0.0273&&,1.0,0.0,4,6,0,1529.16666667,0.166666666667,0
16,2377957,10,1.4,25,0.5810&&0.0032&&0.0064&&0.0701&&4.0228&&0.0654&&0.0919&&8.8280&&0.0512&&0.0057&&0.0007&&0.0506&&0.0894&&,0.846153846154,50.0,4,14,0,1124.64285714,0.428571428571,0
17,2404138,2,3.0,34,0.0199&&6.9650&&0.0018&&0.0879&&0.0421&&,0.8,100.0,0,6,0,1041.66666667,0.333333333333,0
18,2272257,7,0.714285714286,194,13.4926&&5.0735&&8.4295&&5.4980&&,0.0,0.0,2,5,5,5141.8,0.0,0
19,2432147,14,0.357142857143,25,4.0762&&0.0740&&0.0014&&0.0383&&,0.75,40.0,2,5,1,1667.2,0.0,0
20,2381386,2,2.5,17,0.0187&&0.0468&&0.1152&&2.7731&&,1.0,0.0,3,5,0,1837.2,0.2,0
21,2391693,7,2.57142857143,13,0.0257&&0.0226&&0.0217&&0.0083&&0.0347&&0.0249&&0.0060&&0.0037&&1.5386&&0.0001&&0.0199&&0.0662&&0.0089&&0.9193&&2.0041&&0.0205&&5.1164&&,0.941176470588,100.0,0,18,0,563.888888889,0.888888888889,0
22,2365099,8,0.625,95,0.0155&&1.9734&&0.0274&&13.9717&&,0.75,100.0,0,5,0,1889.2,0.0,0
23,2277026,3,1.66666666667,239,2.7823&&0.0288&&37.0462&&0.0045&&,0.75,20.0,2,5,1,1651.2,0.0,0
24,2363714,2,2.5,239,0.0023&&0.0032&&0.0011&&39.9570&&,0.75,0.0,3,5,1,1204.8,0.4,0
25,2354618,9,0.555555555556,216,9.9201&&17.9871&&7.1543&&0.9897&&,0.25,40.0,3,5,0,2107.2,0.0,0
26,2404314,1,5.0,41,0.0038&&0.0204&&0.0005&&6.9223&&,0.75,0.0,2,5,0,10052.6,0.0,0
27,2395856,5,1.0,200,0.0044&&8.3042&&25.0534&&0.0044&&,0.5,20.0,3,5,1,1441.4,0.2,0
28,2219527,1,5.0,81,0.0144&&11.9802&&0.0202&&1.4894&&,0.75,60.0,1,5,1,1888.0,0.0,0
29,2416664,8,1.0,48,0.0015&&6.0818&&0.0054&&0.0316&&0.0083&&0.0014&&7.9472&&,0.714285714286,37.5,4,8,0,1346.25,0.125,0
30,2244831,1,6.0,9,1.7289&&0.0197&&0.0096&&0.0132&&0.2841&&,1.0,0.0,1,6,0,1000.0,0.166666666667,0
31,2228874,4,1.25,29,0.9747&&0.0018&&0.0113&&4.0082&&,0.75,40.0,2,5,0,1475.4,0.0,0
32,2300524,5,1.2,45,0.0071&&0.0071&&0.0106&&0.2541&&9.0962&&,0.8,50.0,1,6,0,1760.0,0.0,0
33,2338552,4,1.5,20,0.0034&&0.0099&&0.9797&&3.1696&&0.1031&&,1.0,83.3333333333,1,6,0,1179.83333333,0.333333333333,0
34,2280678,3,1.66666666667,1,0.0321&&0.0027&&0.1088&&0.1142&&,1.0,100.0,0,5,0,1337.6,0.0,0
35,2418676,5,1.4,40,0.0395&&1.7233&&0.0120&&0.0208&&8.1583&&0.0634&&,0.833333333333,0.0,5,7,0,1411.57142857,0.142857142857,0
36,2246078,6,1.83333333333,188,7.8797&&24.7850&&3.1946&&5.7420&&8.1837&&0.9895&&0.0361&&0.0187&&21.9155&&5.8581&&,0.4,100.0,0,11,0,792.363636364,0.818181818182,0
37,2230676,3,2.33333333333,0,0.0076&&0.0007&&0.0030&&0.0343&&0.0005&&0.0003&&,1.0,0.0,1,7,0,1557.14285714,0.0,0
38,2406348,6,0.833333333333,136,0.0029&&0.9689&&20.0179&&1.8195&&,0.75,80.0,1,5,0,1640.0,0.0,0
39,2352861,3,1.66666666667,31,0.0327&&0.0474&&4.9753&&0.1288&&,0.75,40.0,2,5,0,1248.8,0.4,0
40,2261070,8,0.625,78,0.0544&&6.8772&&0.0017&&6.1928&&,0.5,0.0,2,5,0,1040.2,0.6,0
41,2363694,6,0.833333333333,61,4.9500&&0.2482&&0.0202&&4.9794&&,0.5,100.0,0,5,0,1350.0,0.0,0
42,2297278,9,0.777777777778,51,12.7195&&0.0011&&0.0006&&0.1252&&0.1145&&0.0002&&,0.833333333333,0.0,3,7,1,2457.71428571,0.0,0
43,2249618,16,0.625,76,0.8818&&14.9231&&0.2465&&5.7830&&0.2142&&3.9968&&1.0008&&0.8372&&0.9189&&,0.777777777778,0.0,6,10,0,1049.5,0.6,0
44,2385751,3,3.0,41,0.0041&&0.5940&&1.2037&&0.0332&&1.7388&&0.0643&&0.3806&&9.8257&&,0.875,77.7777777778,2,9,0,1563.44444444,0.0,0
45,2246424,15,0.4,48,5.7856&&0.1212&&0.0123&&2.1705&&2.0733&&,0.8,16.6666666667,3,6,0,1335.83333333,0.333333333333,0
46,2302449,2,2.5,156,0.0107&&0.0501&&0.0052&&26.0212&&,0.75,0.0,3,5,0,2534.6,0.0,0
47,2234448,3,1.66666666667,37,0.0134&&0.0059&&6.2930&&0.0041&&,0.75,100.0,0,5,0,1889.8,0.0,0
