,aid,sign_in_count,activity,hr_diff,hr_list,etaOrient,blank,variety,igs,public,ighMean,ighOrient,membership
0,2692284,3,1.66666666667,37,3.9907&&0.0055&&2.1826&&0.0163&&,1.0,0.0,3,5,0,2696.4,0.0,0
1,2683571,8,0.625,4,0.0042&&0.5302&&0.1466&&0.0847&&,1.0,20.0,1,5,0,1950.8,0.0,0
2,2741226,2,2.5,3,0.5689&&0.0138&&0.0219&&0.0050&&,1.0,40.0,1,5,1,2477.4,0.0,0
3,2668032,6,1.0,151,0.0779&&0.8199&&7.5846&&22.2648&&0.8571&&,0.6,0.0,4,6,0,1891.0,0.0,0
4,2676127,5,3.0,25,4.1019&&0.0009&&0.8593&&3.9407&&0.0052&&0.1274&&0.1623&&0.8230&&4.6695&&0.0324&&0.0573&&0.1694&&0.0102&&0.1135&&,0.857142857143,73.3333333333,2,15,0,1418.4,0.266666666667,0
5,2733375,2,3.0,4,0.0437&&0.7536&&0.0262&&0.0062&&0.0850&&,1.0,0.0,5,6,0,2237.66666667,0.0,0
6,2741611,13,1.53846153846,43,0.0007&&0.0013&&0.0101&&0.0002&&0.0050&&0.0408&&0.0013&&3.1206&&4.9785&&0.0439&&25.5259&&0.1465&&0.0278&&0.0572&&0.0638&&0.0659&&0.0254&&0.0371&&0.0148&&,0.894736842105,65.0,1,20,0,3778.6,0.1,0
7,2663841,2,3.0,8,0.0155&&0.0022&&1.5515&&0.2601&&0.0185&&,1.0,0.0,4,6,1,1977.5,0.0,0
8,2709517,1,9.0,0,0.0167&&0.0027&&0.0064&&0.0328&&0.0035&&0.0013&&0.0007&&0.0030&&,1.0,100.0,0,9,0,1650.0,0.0,0
9,2732258,6,1.5,17,0.1530&&0.8833&&0.1104&&0.7840&&2.9700&&0.2257&&0.2614&&0.5367&&,1.0,100.0,0,9,0,700.0,0.777777777778,0
10,2663001,11,1.18181818182,42,0.0057&&0.0028&&0.1222&&0.1740&&0.7716&&1.2474&&0.0448&&16.9698&&0.0555&&0.0261&&1.5379&&0.0448&&,0.916666666667,100.0,0,13,0,1208.23076923,0.153846153846,0
11,2678140,2,3.0,1,0.0014&&0.0038&&0.0052&&0.3194&&0.0121&&,1.0,16.6666666667,3,6,0,2299.0,0.166666666667,0
12,2713620,4,1.25,118,0.0397&&0.5074&&19.0736&&0.0726&&,0.75,0.0,1,5,0,1142.2,0.0,0
13,2716836,9,1.22222222222,102,0.0172&&0.0046&&0.0267&&0.9381&&2.1610&&4.1506&&0.7236&&12.2180&&5.4679&&16.9894&&,0.6,100.0,0,11,0,1204.54545455,0.0,0
14,2652296,11,0.909090909091,113,0.0210&&0.0109&&0.9995&&2.9997&&1.0017&&0.9997&&0.9922&&15.5481&&19.9071&&,0.777777777778,100.0,0,10,0,2720.2,0.2,0
15,2688296,10,1.1,98,0.0580&&27.0932&&0.0174&&6.9515&&0.0012&&0.0073&&0.6465&&0.2239&&5.9876&&0.0273&&,0.7,0.0,2,11,4,1516.72727273,0.0,0
16,2729033,2,3.0,2,0.0483&&0.0507&&0.0031&&0.0146&&0.3254&&,1.0,100.0,0,6,0,1337.0,0.0,0
17,2712499,3,1.66666666667,48,0.0001&&6.3163&&0.0046&&1.7800&&,0.75,20.0,2,5,0,1497.2,0.2,0
18,2722038,6,1.16666666667,120,6.0067&&0.7737&&0.0006&&1.2754&&21.9543&&0.0241&&,0.666666666667,57.1428571429,1,7,0,1104.85714286,0.142857142857,0
19,2728997,6,2.16666666667,68,0.0038&&0.0066&&0.0027&&0.0074&&0.0014&&0.0257&&2.8605&&0.0184&&10.0347&&0.0043&&4.2172&&16.8270&&,0.75,46.1538461538,6,13,0,1566.38461538,0.153846153846,0
20,2699059,4,1.75,37,0.0323&&0.0014&&2.4190&&0.0017&&6.9331&&0.0451&&,0.833333333333,42.8571428571,1,7,1,1232.57142857,0.0,0
21,2718138,2,4.0,0,0.0006&&0.0007&&0.0014&&0.0006&&0.0007&&0.0010&&0.0025&&,1.0,100.0,0,8,0,1484.25,0.125,0
22,2655566,4,1.75,222,31.1719&&0.7099&&1.8696&&17.0901&&1.1178&&3.7347&&,0.666666666667,100.0,0,7,0,1167.85714286,0.142857142857,0
23,2637941,2,5.5,34,3.0074&&0.0062&&0.7263&&0.0027&&0.1973&&3.0071&&0.0661&&1.0005&&0.9179&&5.3354&&,0.9,0.0,3,11,2,2538.27272727,0.0,0
24,2729381,5,1.2,6,0.1054&&0.0567&&0.0043&&0.0601&&1.0911&&,1.0,0.0,4,6,0,1230.5,0.0,0
25,2660631,1,9.0,8,0.0466&&0.0137&&0.0987&&0.5294&&0.0568&&1.4017&&0.0425&&0.5471&&,1.0,66.6666666667,3,9,0,2201.33333333,0.0,0
26,2648437,13,0.384615384615,0,0.0038&&0.0033&&0.0022&&0.0145&&,1.0,20.0,4,5,0,1672.4,0.0,0
