,aid,sign_in_count,activity,hr_diff,hr_list,etaOrient,blank,variety,igs,public,ighMean,ighOrient,membership
0,2147588,17,0.411764705882,187,0.0549&&0.6859&&38.0171&&0.0056&&0.0212&&7.9836&&,0.666666666667,42.8571428571,3,7,1,1719.0,0.0,0
1,2098804,7,0.714285714286,12,0.0579&&0.9965&&1.0225&&0.0204&&,1.0,60.0,2,5,0,2052.6,0.0,0
2,2194249,7,0.857142857143,1,0.0424&&0.0363&&0.1022&&0.0638&&0.0081&&,1.0,100.0,0,6,0,1392.5,0.0,0
3,2043717,6,0.833333333333,101,0.0031&&0.9810&&0.0039&&15.8919&&,0.75,60.0,2,5,0,1196.6,0.2,0
4,2129124,1,10.0,0,0.0002&&0.0019&&0.0028&&0.0002&&0.0025&&0.0005&&0.0013&&0.0098&&0.0034&&,1.0,100.0,0,10,0,1283.2,0.0,0
5,2133293,4,1.5,7,0.0007&&0.0014&&1.4656&&0.0285&&0.0034&&,1.0,50.0,2,6,0,2000.0,0.166666666667,0
6,2132372,8,0.875,75,0.0033&&0.0428&&17.9424&&0.8074&&0.0148&&0.0015&&,0.833333333333,42.8571428571,1,7,0,1957.14285714,0.142857142857,0
7,2201615,1,5.0,138,2.9608&&0.3312&&11.7824&&8.0221&&,0.5,0.0,5,5,0,1685.0,0.2,0
8,2113933,9,0.666666666667,67,0.0032&&0.0062&&0.0014&&0.0023&&14.1183&&,0.8,0.0,5,6,1,1900.66666667,0.0,0
9,2034241,16,0.3125,119,0.0073&&0.9025&&3.9668&&15.0065&&,0.75,20.0,1,5,1,2097.8,0.0,0
10,2209602,5,1.4,7,0.2564&&1.0337&&0.5140&&0.0091&&0.0754&&0.1000&&,1.0,0.0,5,7,0,1215.28571429,0.285714285714,0
11,2022916,3,2.0,62,0.0017&&0.0007&&13.0826&&0.0017&&0.0048&&,0.8,0.0,2,6,1,1185.5,0.0,0
12,2050593,4,1.25,12,0.0017&&1.8953&&0.0018&&0.1353&&,1.0,100.0,0,5,0,1256.4,0.4,0
13,2057152,5,1.6,158,0.0548&&0.0058&&0.8760&&0.2020&&0.0064&&45.0228&&0.0020&&,0.857142857143,50.0,4,8,0,1639.25,0.125,0
14,2108828,1,5.0,0,0.0155&&0.0070&&0.0022&&0.0019&&,1.0,100.0,0,5,0,1397.2,0.0,0
15,2197521,5,1.4,4,0.8672&&0.1849&&0.0030&&0.0109&&0.0221&&0.0131&&,1.0,85.7142857143,1,7,0,1457.0,0.0,0
16,2075750,5,2.0,95,8.9604&&0.1703&&0.0521&&0.6908&&0.0288&&0.1665&&0.7110&&18.9137&&6.0813&&,0.666666666667,80.0,2,10,0,2280.0,0.0,0
17,2003539,17,0.411764705882,16,0.0098&&0.9815&&2.5428&&0.4541&&0.0012&&0.0156&&,1.0,100.0,0,7,0,2057.14285714,0.0,0
18,2098202,6,1.66666666667,3,0.8046&&0.2319&&0.0422&&0.0103&&0.0772&&0.0419&&0.0355&&0.0128&&0.0371&&,1.0,0.0,1,10,1,660.6,1.0,0
19,2085511,4,2.5,7,0.0018&&0.9613&&0.0474&&0.0051&&0.0129&&0.9847&&0.0019&&0.0378&&0.8867&&,1.0,100.0,0,10,0,1154.9,0.0,0
20,2190201,7,1.85714285714,57,7.2190&&0.0297&&0.0011&&0.0207&&6.7176&&6.4361&&0.0054&&0.0334&&0.0071&&0.0082&&0.5701&&7.9218&&,0.666666666667,100.0,0,13,0,1083.23076923,0.384615384615,0
21,2179761,2,2.5,0,0.0017&&0.0110&&0.0098&&0.0051&&,1.0,40.0,2,5,0,919.0,0.6,0
22,2114234,2,2.5,383,57.9816&&0.9790&&4.0098&&0.9902&&,0.5,80.0,1,5,0,1875.2,0.0,0
23,2109946,4,4.0,169,14.9992&&5.9476&&7.1334&&0.9326&&0.0510&&0.0280&&2.8300&&0.0025&&47.1443&&0.0190&&7.9336&&3.9639&&1.0395&&0.8791&&12.9242&&,0.6,75.0,2,16,0,1570.5,0.5625,0
24,2118075,9,0.555555555556,36,0.9900&&1.9971&&3.0118&&0.0044&&,1.0,40.0,2,5,0,1670.8,0.0,0
25,2057378,2,3.5,225,0.0019&&4.0236&&2.3310&&0.0496&&49.9277&&0.0268&&,0.666666666667,0.0,3,7,0,1991.0,0.0,0
26,2167387,5,1.0,0,0.0044&&0.0011&&0.0090&&0.0611&&,1.0,40.0,3,5,0,2029.2,0.0,0
27,2052970,12,0.916666666667,175,0.0017&&0.9398&&0.0276&&70.0312&&0.0003&&0.0006&&1.9463&&0.1063&&0.0003&&0.0019&&,0.9,100.0,0,11,0,1309.09090909,0.0909090909091,0
28,2025908,1,5.0,6,0.0039&&0.9055&&0.0902&&0.0043&&,1.0,40.0,1,5,0,1907.4,0.0,0
29,2103774,5,1.0,2,0.0306&&0.1177&&0.2779&&0.0201&&,1.0,60.0,1,5,0,1124.8,0.4,0
30,2102046,2,2.5,0,0.0266&&0.0060&&0.0108&&0.0041&&,1.0,60.0,2,5,0,2008.6,0.0,0
31,2058724,4,1.25,419,3.8938&&0.0098&&66.0811&&0.0037&&,0.75,20.0,3,5,0,1355.2,0.0,0
32,2209647,2,2.5,0,0.0026&&0.0027&&0.0021&&0.0156&&,1.0,20.0,3,5,0,2062.4,0.0,0
33,2210003,9,0.666666666667,40,0.5830&&0.0193&&0.9629&&6.8241&&0.0101&&,0.8,100.0,0,6,0,1050.0,0.5,0
34,2026973,12,0.5,105,0.0042&&7.8302&&0.1501&&0.9194&&12.9850&&,0.6,16.6666666667,3,6,1,1415.66666667,0.166666666667,0
35,2198115,5,1.4,45,0.0001&&4.8295&&5.5032&&1.0817&&0.0078&&0.0174&&,0.666666666667,100.0,0,7,0,1574.71428571,0.0,0
36,2153072,12,0.5,13,0.0069&&0.0041&&0.0472&&1.9891&&0.7585&&,1.0,33.3333333333,3,6,1,1654.16666667,0.0,0
37,2115250,8,0.75,202,7.1326&&12.3450&&22.4450&&0.0368&&0.1498&&,0.4,83.3333333333,1,6,0,1635.83333333,0.0,0
38,2196867,15,0.6,116,0.0108&&0.0052&&0.0202&&31.3663&&0.0001&&3.7423&&0.0038&&3.7806&&,0.875,0.0,1,9,0,1617.44444444,0.0,0
39,2023077,10,0.6,2,0.4662&&0.0214&&0.0134&&0.0057&&0.0059&&,1.0,0.0,1,6,1,942.833333333,0.833333333333,0
40,2043666,4,1.5,43,0.0175&&5.9362&&1.0004&&0.0286&&2.0509&&,0.8,0.0,2,6,1,1737.66666667,0.0,0
41,2004645,17,0.647058823529,172,0.0119&&1.9911&&0.0145&&0.2301&&13.7534&&0.0038&&0.0034&&54.0313&&0.0023&&1.8717&&,0.8,9.09090909091,2,11,0,1142.63636364,0.0,0
42,2010805,4,1.25,1,0.0578&&0.1494&&0.0467&&0.0686&&,1.0,0.0,1,5,0,1844.8,0.0,0
43,2161083,1,10.0,0,0.0465&&0.0126&&0.0016&&0.0423&&0.0120&&0.0472&&0.0033&&0.0065&&0.0053&&,1.0,20.0,5,10,1,1703.0,0.0,0
44,2177601,6,0.833333333333,37,0.0007&&0.2454&&6.0357&&0.0009&&,0.75,40.0,2,5,0,1298.2,0.0,0
45,2087345,6,1.33333333333,72,5.9369&&5.1312&&2.0530&&0.0013&&3.9729&&3.1151&&0.9449&&,0.714285714286,87.5,1,8,0,942.0,0.875,0
46,2166013,3,3.0,1,0.0281&&0.0853&&0.0264&&0.1929&&0.0021&&0.0338&&0.0076&&0.0043&&,1.0,100.0,0,9,0,789.0,1.0,0
47,2003734,12,0.416666666667,234,0.1113&&0.0035&&6.9659&&32.0841&&,0.5,40.0,3,5,0,1549.2,0.0,0
48,2017898,3,4.66666666667,2,0.0058&&0.0012&&0.0160&&0.2111&&0.0009&&0.6162&&0.0045&&0.1125&&0.0005&&0.0400&&0.0868&&0.0094&&0.0107&&,1.0,0.0,3,14,0,1444.42857143,0.0,0
49,2074253,4,1.5,7,0.0109&&0.0300&&0.2590&&1.2009&&0.0197&&,1.0,0.0,5,6,1,1338.66666667,0.166666666667,0
50,2046742,5,1.2,4,0.0009&&0.0107&&0.0027&&0.5674&&0.3065&&,1.0,33.3333333333,1,6,1,1947.66666667,0.0,0
51,2097731,10,1.1,98,0.1177&&12.3499&&5.3927&&1.4273&&0.6012&&1.0165&&0.0191&&1.0403&&1.4273&&17.7668&&,0.7,81.8181818182,2,11,0,1776.0,0.0,0
52,2155145,3,3.33333333333,6,1.5189&&0.0139&&0.0011&&0.0023&&0.0334&&0.5574&&0.0011&&0.1445&&0.0144&&,1.0,100.0,0,10,0,1235.0,0.1,0
53,2112240,10,0.5,35,0.0094&&0.0136&&4.9127&&1.0314&&,0.75,20.0,3,5,0,1469.2,0.0,0
54,2172670,5,1.2,38,0.0122&&6.9394&&0.0357&&0.9690&&0.1069&&,0.8,100.0,0,6,0,1388.83333333,0.0,0
55,2191708,28,0.428571428571,49,0.0426&&1.0978&&6.4097&&0.0021&&4.3356&&0.0021&&0.0029&&0.0056&&10.9598&&0.0031&&0.0050&&,0.727272727273,25.0,4,12,2,2132.75,0.0,0
56,2138643,3,3.0,177,2.1621&&9.1368&&0.6474&&27.0687&&0.0909&&0.0838&&0.6795&&19.2166&&,0.625,33.3333333333,2,9,0,2580.33333333,0.222222222222,0
57,2004434,1,6.0,0,0.0012&&0.0010&&0.0001&&0.0020&&0.0043&&,1.0,0.0,1,6,0,1324.0,0.0,0
58,2066255,7,0.714285714286,335,6.9949&&1.3491&&0.0467&&47.6052&&,0.5,80.0,1,5,0,1439.8,0.4,0
59,2152129,4,1.25,5,0.2816&&0.4823&&0.0249&&0.0794&&,1.0,80.0,1,5,0,853.8,1.0,0
60,2106362,12,0.5,153,0.0028&&31.9765&&0.0074&&0.0119&&0.0019&&,0.8,0.0,3,6,0,1207.83333333,0.0,0
61,2048063,1,5.0,0,0.0006&&0.0013&&0.0002&&0.0028&&,1.0,0.0,2,5,0,3640.6,0.0,0
62,2130860,4,2.25,181,0.0049&&0.9480&&0.0058&&0.0028&&49.4081&&1.7943&&1.2363&&6.9542&&,0.75,22.2222222222,4,9,1,1269.22222222,0.333333333333,0
63,2064592,1,5.0,0,0.0028&&0.0057&&0.0026&&0.0209&&,1.0,40.0,3,5,0,2400.0,0.0,0
64,2003036,5,2.8,73,2.2184&&0.0044&&0.0057&&0.0085&&0.0017&&3.2631&&0.0227&&21.2879&&0.1383&&0.0108&&12.9630&&0.0275&&0.0031&&,0.846153846154,100.0,0,14,0,1241.42857143,0.142857142857,0
65,2093673,7,1.14285714286,243,0.0175&&2.0894&&1.1617&&2.4770&&0.3343&&8.6880&&56.2577&&,0.714285714286,0.0,2,8,0,450.625,1.0,0
66,2166611,7,0.714285714286,318,27.9588&&0.3305&&15.0372&&9.7488&&,0.25,40.0,3,5,0,1674.4,0.0,0
