,aid,sign_in_count,activity,hr_diff,hr_list,etaOrient,blank,variety,igs,public,ighMean,ighOrient,membership
0,2489857,1,6.0,0,0.0219&&0.0542&&0.0020&&0.0006&&0.0019&&,1.0,0.0,1,6,0,1860.0,0.0,0
1,2588108,3,3.0,60,0.0221&&0.6454&&0.0036&&0.0047&&0.7014&&18.4768&&0.1053&&0.3638&&,0.875,11.1111111111,6,9,0,1978.55555556,0.111111111111,0
2,2494297,6,1.16666666667,224,0.0071&&0.0174&&0.0064&&0.0687&&2.8626&&53.2074&&,0.833333333333,28.5714285714,4,7,0,1816.28571429,0.0,0
3,2566778,1,5.0,0,0.0044&&0.0050&&0.0086&&0.0016&&,1.0,0.0,3,5,0,1884.6,0.0,0
4,2596209,5,1.0,258,14.0018&&6.1697&&6.6991&&16.2789&&,0.0,100.0,0,5,0,1140.6,0.2,0
5,2562484,5,1.0,72,0.0088&&12.0824&&0.0041&&0.0020&&,0.75,100.0,0,5,0,2880.0,0.0,0
6,2505966,7,1.0,231,0.0914&&6.1673&&30.9722&&3.7284&&8.3119&&8.5936&&,0.333333333333,14.2857142857,5,7,0,650.571428571,1.0,0
7,2540346,3,1.66666666667,0,0.0013&&0.0076&&0.0097&&0.0058&&,1.0,100.0,0,5,0,1350.0,0.0,0
8,2611677,3,1.66666666667,21,0.0680&&0.0004&&0.0019&&3.5785&&,1.0,100.0,0,5,0,1293.0,0.0,0
9,2494907,28,0.214285714286,66,0.0199&&0.0066&&0.0025&&13.7079&&0.1105&&,0.8,16.6666666667,1,6,0,1803.5,0.0,0
10,2621018,6,0.833333333333,0,0.0066&&0.0191&&0.0083&&0.0325&&,1.0,0.0,2,5,0,1524.8,0.0,0
11,2504766,6,1.16666666667,8,0.0011&&0.1250&&1.6027&&0.0583&&0.2631&&0.0361&&,1.0,0.0,2,7,1,1163.0,0.142857142857,0
12,2478782,9,1.66666666667,72,14.1315&&13.8678&&0.1089&&0.0111&&0.9463&&0.0020&&0.0183&&0.0150&&5.8345&&0.0088&&0.0506&&0.0066&&0.0007&&7.0909&&,0.714285714286,13.3333333333,6,15,2,1474.13333333,0.266666666667,0
13,2534564,6,1.0,20,0.0277&&0.0001&&3.0943&&0.9057&&0.2570&&,1.0,100.0,0,6,0,3468.83333333,0.0,0
14,2549782,5,1.6,3,0.6056&&0.0036&&0.0022&&0.0023&&0.0085&&0.1679&&0.0900&&,1.0,87.5,1,8,0,944.25,0.5,0
15,2522860,2,4.0,17,0.0003&&0.0004&&0.0005&&0.0000&&0.0023&&0.0006&&5.1657&&,0.857142857143,12.5,1,8,0,1540.5,0.375,0
